year,happiness_score
2015,5.567509547350348
2016,5.55654192530493
2017,5.547446260077955
2018,5.530834913691413
2019,5.525888803831551
2020,5.499649193625123
2021,5.508142686903522
2022,5.4927028418759285
2023,5.498088864688291
2024,5.485342470232787
2025,5.467621170227909
